259,225,253,263
267,254,237,242
264,256,236,244
259,242,250,249
275,227,245,253
255,230,247,268
262,250,239,249
232,248,238,282
239,237,252,272
230,263,244,263
271,254,241,234
257,255,237,251
252,268,246,234
247,244,233,276
244,260,246,250
238,249,256,257
273,235,238,254
248,255,231,266
229,248,256,267
226,290,239,245
266,239,261,234
250,254,260,236
277,241,237,245
260,265,248,227
249,259,245,247
267,259,230,244
264,250,233,253
261,249,231,259
283,233,239,245
232,250,263,255
241,234,255,270
234,246,267,253
255,264,249,232
254,229,255,262
270,238,255,237
250,270,244,236
241,278,241,240
229,259,263,249
260,258,231,251
253,235,256,256
254,254,251,241
278,231,240,251
257,243,241,259
246,250,258,246
239,268,231,262
268,241,236,255
232,268,250,250
285,235,249,231
256,264,259,221
263,243,255,239
274,242,250,234
244,272,237,247
239,257,240,264
279,260,217,244
274,238,227,261
271,238,235,256
245,273,234,248
258,244,254,244
247,238,268,247
242,262,252,244
263,237,249,251
271,256,243,230
229,253,255,263
277,255,228,240
243,261,267,229
241,279,237,243
251,245,273,231
233,250,253,264
252,232,269,247
238,274,234,254
255,245,246,254
258,264,239,239
246,245,264,245
236,275,248,241
239,243,263,255
253,252,264,231
269,245,258,228
236,261,257,246
239,239,262,260
246,260,253,241
250,267,266,217
242,216,277,265
239,240,264,257
276,244,240,240
255,245,254,246
227,260,249,264
253,241,244,262
238,248,241,273
250,233,267,250
241,256,267,236
265,252,241,242
257,241,255,247
229,269,261,241
226,258,260,256
234,257,253,256
239,242,260,259
244,248,254,254
223,244,277,256
252,267,239,242
239,249,262,250
